Name,ReviewCount,Brand,ImageURL,Rating
6 Pack - Mitchum Invisible Anti-Perspirant & Deodorant Roll-On,1,mitchum,https://i5.walmartimages.com/asr/df96f85a-e054-4a41-8954-48bae1c5ae21_1.685d1d0d959dd67a71e6cc1cf8c8b2a0.jpeg,5
BioAstin Hawaiian Astaxanthin,3,bioastin,https://i5.walmartimages.com/asr/6da9e238-b19e-4c65-a5f3-c0bfd5969654_1.97d5bf762ff3aef306b65ec2a6619353.jpeg | https://i5.walmartimages.com/asr/aacab72d-1087-487e-b491-1a8691c5bcd7_1.8aa37a5209a0f98bbf7fe9a9f8903e1c.jpeg | https://i5.walmartimages.com/asr/4797bf7b-2388-47fd-9a67-4d98bfd60cf6_1.4c129ef2bbcdd10a982f592f89b9d909.jpeg | https://i5.walmartimages.com/asr/1ae9fe6f-0812-42f6-be9d-b37b4ec8526a_1.f60db57a040013598d0ee2b47c534029.jpeg | https://i5.walmartimages.com/asr/9857dc4a-43df-4552-92fb-a844d09d6598_1.c406773bb11585d5be551b39f30c4404.jpeg | https://i5.walmartimages.com/asr/75074284-16dc-494d-982a-a27bc597962f_1.3de05169bf6d17714d5d5116be9eea5e.jpeg,5
P. Latouche Body & Hand Lotion 16 oz - (Pack of 3),10,"pierre,la,touche",https://i5.walmartimages.com/asr/103cbc30-3959-4907-b7cc-c966f6dcd4a2_1.cfa5a953258fc72a5a55fd88d675fc69.jpeg | https://i5.walmartimages.com/asr/5944ee45-610e-4787-a7b6-56d0865d2122_1.43952c548973dc03c7c2a86b26450126.png,5
Bondo Liquid Hardener,3,bondo,https://i5.walmartimages.com/asr/b89d3c32-5bec-4457-8652-990a6874b957_1.5ffa143e63917732071d7ffbec6d3527.jpeg,5
Equate Beauty Makeup Remover Cleansing Towelettes,3,"equate,beauty",https://i5.walmartimages.com/asr/c3e000a7-2fab-429e-9de7-a0734d63381f_1.d274e30d8ddfab57284e329a6f790c11.jpeg | https://i5.walmartimages.com/asr/418b5f20-c1dc-4c07-80bf-a11218cf206e_1.60467f6aacabbdf5349c9ad6957f7601.jpeg | https://i5.walmartimages.com/asr/6c95b670-4d43-4c7d-8f17-bd9c34e476e0_1.f97076c8252073f0dd6c448cb83dd034.jpeg | https://i5.walmartimages.com/asr/6a0484eb-087b-49b5-817e-d96a010ee183_1.4c427ef4a48a8ce403077e25f47c8233.jpeg | https://i5.walmartimages.com/asr/2b944ed1-93f5-429c-9e85-ab366153726e_1.93292637d353e864604a35f6f79a41ce.jpeg,5
UNITE Hair Boosta Shampoo,5,unite,https://i5.walmartimages.com/asr/a214eefd-c157-4131-bef3-914acf5a3165_1.951eef12bff65fa04ab70a601145a12a.jpeg | https://i5.walmartimages.com/asr/546a12cf-1156-464a-920a-d4d8fb1af750_1.63e371d08f52655747faa7c864c5fa25.jpeg | https://i5.walmartimages.com/asr/75eb923b-b388-4118-8083-64814e335f01_1.d568ed2f496f5caba41f804fa8573c47.jpeg,5
Equate 3 fl. oz Apples & Cinnamon Stick Frosting Hand Sanitizer,1,equate,https://i5.walmartimages.com/asr/7045a61c-8aa7-4b2e-ac22-ff9b67cdda28_1.cf161eb92261c871aff34013f3f7036a.jpeg | https://i5.walmartimages.com/asr/358466bb-4cfd-4386-a7b6-b47a9518fe1b_2.1d47c5d5070c0ff31ec969a445e963ac.jpeg | https://i5.walmartimages.com/asr/e23cfb11-52ad-49b0-aa81-2e13c19ce6b7_1.2ad49deddbef04f5ac8535fe410bdd4d.jpeg | https://i5.walmartimages.com/asr/e0486e2d-1d33-4592-9c73-25896dee497d_1.0d2059a2efb99216c3a1287a090b9f70.jpeg | https://i5.walmartimages.com/asr/e68b648d-51c5-48cf-bda9-9aa44eb51055_1.57eca66c27fe8faefe238b45a9e5be00.jpeg | https://i5.walmartimages.com/asr/8d4a33bb-bed0-4280-8363-e4886ae44c36_1.f902cf5606b5f569cd5e46784f5decd2.jpeg | https://i5.walmartimages.com/asr/11f92573-9188-4d48-8f1a-19768de71b2b_1.eb4df8105783383a66486e95924011e7.jpeg | https://i5.walmartimages.com/asr/a6f51eb5-9891-4c62-a1bf-4cd43fc582cd_1.4b62dd24165814c4a0b652dd5d184e7b.jpeg | https://i5.walmartimages.com/asr/cc1ddb4f-a735-48bd-b090-27c0765e977b_1.47bff51be9f3a8b0edf929e5ac4d9ada.jpeg | https://i5.walmartimages.com/asr/277cec7b-09c9-4994-8516-3c630001a649_1.27f00fddd1cdb9b212e923c54e7783fb.jpeg,5
Epionce Renewal Eye Cream,4,epionce,https://i5.walmartimages.com/asr/6cd9e294-2583-4eb3-8d58-6a38a9f35200_1.3e688c4b3f88a78ba2cb1c12adc01113.jpeg | https://i5.walmartimages.com/asr/d9fda96b-eab5-4622-a53a-f2a9bf2d12b9_1.10cd5287569aba8dc98f52129dbab538.jpeg | https://i5.walmartimages.com/asr/f89a571d-61df-4780-a001-fcc0d484cb1f_1.80f925f0da3132067ba602b537277f2f.jpeg,5
Twisted Curl Magnifier Styling Cream by Sebastian Professional - 4.9 oz Cream,5,"sebastian,professional",https://i5.walmartimages.com/asr/9232a734-df57-4a83-a7ff-dfdb25b6f43d_1.dc16f28c38b1cfc36afb3d3fb21ac8ea.jpeg | https://i5.walmartimages.com/asr/4c63eb52-15f4-4823-bcf9-11f0a37277a0_1.29d80c1993fad9ca043d3276f45e9c79.jpeg | https://i5.walmartimages.com/asr/0f7bc2d9-4576-45c5-b26e-03dd8432d6a6_1.74b899c304442c97ded8471190527ea6.jpeg,5
Acqua Di Gio Eau De Toilette Spray,4,"giorgio,armani",https://i5.walmartimages.com/asr/94d84d28-83c7-4127-a783-c08136de349a_1.71eec478316a87260e1e3525e453f55e.jpeg | https://i5.walmartimages.com/asr/2466c6dd-e37a-49a7-bb18-e347b49bfa58.ffab752506039311daebe3b8344f6d43.jpeg,5
